EMPRESA,LINHA,NOME,ROTA
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,PRAÇA DOS HEROIS
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA TULIO FERNANDES
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA RODRIGUES DIAS
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA PEDRO AFONSO
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA BELO HORIZONTE
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA FERREIRA ITAJUBÁ
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA SÃO JOÃO DE DEUS
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,AV. DUQUE DE CAXIAS
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,PRAÇA AUGUSTO SEVERO
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,AV. CÂMARA CASCUDO
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA PADRE JOÃO MANOEL
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA ULISSES CALDAS
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA MOSSORÓ
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,AV. PRUDENTE DE MORAIS
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,AV. NILO PEÇANHA
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,RUA CORONEL JOAQUIM MANOEL
TRANSPORTES CIDADE DO NATAL,33A,PLANALTO/P. DO MEIO/AV. H. DA FONSÊCA/CANDELÁRIA,AV. HERMES DA FONSÊCA
